Title,Year,link,Cast & Director,Rating,Number of reviews
Oldeuboi,2003,https://www.imdb.com/title/tt0364569/,"Chan-wook Park (dir.), Min-sik Choi, Ji-Tae Yoo",8.4,479717
Witness for the Prosecution,1957,https://www.imdb.com/title/tt0051201/,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.4,98276
The Dark Knight Rises,2012,https://www.imdb.com/title/tt1345836/,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.3,1438199
Once Upon a Time in America,1984,https://www.imdb.com/title/tt0087843/,"Sergio Leone (dir.), Robert De Niro, James Woods",8.3,290512
Aliens,1986,https://www.imdb.com/title/tt0090605/,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.3,621428
Kimi no na wa.,2016,https://www.imdb.com/title/tt5311514/,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.3,156704
American Beauty,1999,https://www.imdb.com/title/tt0169547/,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.3,1020576
Coco,2017,https://www.imdb.com/title/tt2380307/,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.3,319264
Braveheart,1995,https://www.imdb.com/title/tt0112573/,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.3,918309
Das Boot,1981,https://www.imdb.com/title/tt0082096/,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.3,218739
Tengoku to jigoku,1963,https://www.imdb.com/title/tt0057565/,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.3,25814
3 Idiots,2009,https://www.imdb.com/title/tt1187043/,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.3,315777
Toy Story,1995,https://www.imdb.com/title/tt0114709/,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.3,834971
Star Wars: Episode VI - Return of the Jedi,1983,https://www.imdb.com/title/tt0086190/,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.3,901343
Taare Zameen Par,2007,https://www.imdb.com/title/tt0986264/,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.3,151566
